timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286857.2017152,26,2,mouse,0.96585,305.92,240.92,522.53,432.62,48.430,4.168
1788286857.2022395,26,2,mouse,0.94613,97.97,221.74,299.40,366.14,48.430,4.168
1788286857.2026782,26,2,mouse,0.65808,0.35,3.55,93.19,386.89,48.430,4.168
1788286857.3378737,27,2,mouse,0.96231,305.13,238.75,520.78,430.28,48.355,4.239
1788286857.3383882,27,2,mouse,0.92719,96.73,220.26,297.52,364.29,48.355,4.239
1788286857.3388355,27,2,mouse,0.66577,0.36,7.48,92.69,385.83,48.355,4.239
1788286857.4696794,28,2,mouse,0.96173,304.80,236.60,520.62,426.77,48.365,4.309
1788286857.47023,28,2,mouse,0.93895,101.31,216.16,297.21,359.69,48.365,4.309
1788286857.4707096,28,2,mouse,0.51846,0.34,2.59,89.79,382.92,48.365,4.309
1788286857.6018941,29,2,mouse,0.97892,305.51,228.19,522.48,422.42,48.445,4.377
1788286857.6023788,29,2,mouse,0.95064,90.23,207.36,297.32,352.62,48.445,4.377
1788286857.60282,29,2,mouse,0.69145,0.28,4.98,88.27,376.01,48.445,4.377
1788286857.7379441,30,2,mouse,0.95335,303.96,239.68,521.51,434.35,48.383,4.439
1788286857.7384515,30,2,mouse,0.94792,81.42,217.87,296.14,364.25,48.383,4.439
1788286857.7389154,30,2,mouse,0.52757,0.35,3.40,86.52,383.48,48.383,4.439
1788286857.8694882,31,2,mouse,0.96937,308.68,238.66,531.41,433.02,48.216,4.501
1788286857.8700056,31,2,mouse,0.95107,94.14,215.74,301.49,365.21,48.216,4.501
1788286857.8704588,31,2,mouse,0.67290,0.37,21.12,91.34,384.32,48.216,4.501
1788286858.0016918,32,2,mouse,0.97058,314.18,236.76,541.89,432.36,48.283,8.386
1788286858.0022316,32,2,mouse,0.94879,108.85,213.81,307.97,362.96,48.283,8.386
1788286858.0026846,32,2,mouse,0.62729,0.39,5.69,98.61,382.26,48.283,8.386
1788286858.137229,33,2,mouse,0.97365,315.76,233.84,543.89,431.21,48.133,8.210
1788286858.1377313,33,2,mouse,0.95777,105.98,211.42,310.61,360.78,48.133,8.210
1788286858.1382315,33,2,mouse,0.60082,0.00,0.96,97.86,381.53,48.133,8.210
1788286858.2689023,34,2,mouse,0.97153,313.87,231.08,543.23,429.16,47.876,8.086
1788286858.2694082,34,2,mouse,0.96277,92.66,209.11,307.52,359.24,47.876,8.086
1788286858.2699187,34,2,mouse,0.62344,0.00,1.61,93.36,380.43,47.876,8.086
1788286858.4013393,35,2,mouse,0.97787,313.38,230.84,544.32,432.39,48.143,7.988
1788286858.401852,35,2,mouse,0.96839,85.94,208.80,306.05,360.83,48.143,7.988
1788286858.4022975,35,2,mouse,0.69209,0.33,6.62,88.67,381.15,48.143,7.988
1788286858.5380101,36,2,mouse,0.97813,309.53,235.63,542.15,441.50,48.367,7.887
1788286858.5384965,36,2,mouse,0.96142,94.93,212.09,301.81,366.23,48.367,7.887
1788286858.5389626,36,2,mouse,0.67844,0.00,1.92,85.70,387.75,48.367,7.887
1788286858.6695426,37,2,mouse,0.98229,306.92,236.28,542.14,442.92,48.133,7.817
1788286858.6700814,37,2,mouse,0.95719,81.94,214.09,300.69,367.30,48.133,7.817
1788286858.6705487,37,2,mouse,0.71555,0.00,3.28,81.93,388.87,48.133,7.817
1788286858.8021078,38,2,mouse,0.98119,312.52,232.98,547.95,443.52,48.029,7.741
1788286858.8026404,38,2,mouse,0.96668,87.22,211.76,304.03,367.77,48.029,7.741
1788286858.8030834,38,2,mouse,0.73712,0.00,0.92,85.84,393.03,48.029,7.741
1788286858.9376137,39,2,mouse,0.98043,312.28,228.28,551.44,439.74,48.122,7.599
1788286858.938176,39,2,mouse,0.96063,93.95,213.31,304.38,368.29,48.122,7.599
1788286858.9386504,39,2,mouse,0.71944,0.00,0.60,85.35,397.41,48.122,7.599
1788286859.0688763,40,2,mouse,0.92239,305.31,127.73,551.16,373.46,47.963,7.499
1788286859.069391,40,2,mouse,0.79038,81.24,155.70,297.87,324.40,47.963,7.499
1788286859.2022753,41,2,mouse,0.96026,338.06,103.27,593.51,350.05,48.289,7.499
1788286859.2027805,41,2,mouse,0.91259,101.05,93.89,328.54,268.75,48.289,7.499
1788286859.203266,41,2,mouse,0.53966,0.00,2.03,119.07,299.94,48.289,7.499
1788286859.3385427,42,2,mouse,0.93831,359.48,61.80,639.15,334.43,48.493,7.500
1788286859.3390522,42,2,mouse,0.91069,118.06,42.82,350.13,238.33,48.493,7.500
1788286859.3395019,42,2,mouse,0.83059,0.27,1.43,117.73,277.74,48.493,7.500
1788286859.3399496,42,2,mouse,0.69290,0.00,353.14,620.23,478.97,48.493,7.500
1788286859.469468,43,2,mouse,0.97381,379.24,30.49,640.00,334.91,48.078,7.500
1788286859.47003,43,2,mouse,0.94971,96.00,41.45,373.38,240.80,48.078,7.500
1788286859.4704807,43,2,mouse,0.82293,0.26,2.53,136.31,288.23,48.078,7.500
1788286859.6012366,44,2,mouse,0.97123,382.88,30.56,640.00,350.75,48.171,7.500
1788286859.6017442,44,2,mouse,0.94589,117.68,52.20,380.30,258.66,48.171,7.500
1788286859.737888,45,2,mouse,0.96695,377.78,41.46,640.00,367.81,48.207,7.500
1788286859.7384026,45,2,mouse,0.94389,97.40,64.99,373.16,271.26,48.207,7.500
1788286859.738854,45,2,mouse,0.46321,0.14,1.13,142.62,327.57,48.207,7.500
1788286859.8700204,46,2,mouse,0.95557,115.67,70.32,374.98,284.16,48.530,7.500
1788286859.8705072,46,2,mouse,0.94537,377.19,37.13,639.96,373.44,48.530,7.500
1788286859.8709762,46,2,mouse,0.64053,0.00,18.56,140.80,341.01,48.530,7.500
1788286860.001559,47,2,mouse,0.95740,377.60,48.08,640.00,392.83,48.083,7.500
1788286860.002106,47,2,mouse,0.93437,104.83,84.14,375.54,300.91,48.083,7.500
1788286860.0026073,47,2,mouse,0.37256,0.06,0.00,141.15,361.87,48.083,7.500
1788286860.1378667,48,2,mouse,0.95719,373.38,63.23,639.97,402.19,48.507,7.500
1788286860.1383767,48,2,mouse,0.94156,92.30,98.92,371.78,320.17,48.507,7.500
